,iu_ac,libelle,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,t_1h,q,k,etat_trafic,etat_barre,dessin,diff
0,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 01:00:00,517.0,3.60167,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",
1,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 02:00:00,944.0,8.06278,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
2,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 03:00:00,624.0,3.89722,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
3,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 04:00:00,547.0,3.28833,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
4,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 05:00:00,502.0,2.7516700000000003,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
5,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 06:00:00,430.0,2.39556,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
6,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 07:00:00,288.0,1.35889,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
7,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 08:00:00,185.0,1.60111,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
8,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 09:00:00,148.0,1.0066700000000002,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
9,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2018-01-01 10:00:00,134.0,0.925,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
