,iu_ac,libelle,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,t_1h,q,k,etat_trafic,etat_barre,dessin,diff
0,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 01:00:00,243.0,3.03,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",
1,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 02:00:00,354.0,3.99833,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
2,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 03:00:00,386.0,4.495,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
3,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 04:00:00,309.0,3.63556,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
4,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 05:00:00,291.0,3.16945,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
5,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 06:00:00,214.0,2.36556,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
6,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 07:00:00,120.0,1.27167,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
7,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 08:00:00,89.0,1.16722,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
8,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 09:00:00,52.0,0.69722,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
9,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2016-01-01 10:00:00,86.0,1.15,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
