,iu_ac,libelle,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,t_1h,q,k,etat_trafic,etat_barre,dessin,diff
0,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 01:00:00,234.0,2.92278,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",
1,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 02:00:00,317.0,3.4144400000000004,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
2,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 03:00:00,334.0,3.51444,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
3,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 04:00:00,314.0,3.12889,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
4,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 05:00:00,266.0,2.75889,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
5,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 06:00:00,205.0,2.21556,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
6,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 07:00:00,98.0,1.03556,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
7,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 08:00:00,85.0,1.01833,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
8,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 09:00:00,62.0,0.84278,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
9,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 10:00:00,76.0,0.98945,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
10,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2015-01-01 11:00:00,106.0,1.23278,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
