,iu_ac,libelle,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,t_1h,q,k,etat_trafic,etat_barre,dessin,diff
0,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 01:00:00,403.0,2.38889,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",
1,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 02:00:00,517.0,2.81167,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
2,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 03:00:00,496.0,3.27056,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
3,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 04:00:00,482.0,2.96889,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
4,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 05:00:00,442.0,2.7688900000000003,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
5,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 06:00:00,332.0,1.75055,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
6,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 07:00:00,235.0,1.39111,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
7,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 08:00:00,174.0,1.04723,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
8,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 09:00:00,135.0,0.8877799999999999,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
9,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 10:00:00,138.0,0.995,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
10,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 11:00:00,166.0,1.19834,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
11,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 12:00:00,328.0,2.13722,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
12,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 13:00:00,397.0,2.64722,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
13,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 14:00:00,380.0,2.39778,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
14,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 15:00:00,487.0,2.90833,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
15,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 16:00:00,456.0,3.14111,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
16,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 17:00:00,516.0,4.29833,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
17,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 18:00:00,570.0,3.75722,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
18,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 19:00:00,578.0,4.2077800000000005,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
19,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 20:00:00,546.0,4.18056,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
20,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 21:00:00,444.0,3.08889,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
21,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 22:00:00,405.0,2.65,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
22,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2017-01-01 23:00:00,336.0,2.02278,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
