,iu_ac,libelle,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,t_1h,q,k,etat_trafic,etat_barre,dessin,diff
21,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 22:00:00,376.0,4.73389,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
22,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 23:00:00,311.0,3.56722,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
23,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 00:00:00,292.0,3.44389,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
24,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 01:00:00,209.0,2.52334,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
25,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 02:00:00,105.0,1.325,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
26,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 03:00:00,65.0,0.83278,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
27,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 04:00:00,41.0,0.57,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
28,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 05:00:00,50.0,0.72945,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
29,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 06:00:00,74.0,0.85667,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
30,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 07:00:00,211.0,2.51389,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
31,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 08:00:00,321.0,4.53167,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
