,iu_ac,libelle,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,t_1h,q,k,etat_trafic,etat_barre,dessin,diff
0,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 01:00:00,545.0,6.40611,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",
1,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 02:00:00,636.0,7.58445,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
2,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 03:00:00,487.0,5.40889,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
3,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 04:00:00,430.0,4.8188900000000015,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
4,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 05:00:00,350.0,3.645,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
5,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 06:00:00,312.0,3.295,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
6,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 07:00:00,229.0,2.71389,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
7,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 08:00:00,136.0,1.45889,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
8,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 09:00:00,129.0,1.61445,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
9,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2015-01-01 10:00:00,112.0,1.48722,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
